01/02/2012,83
03/02/2012,82
06/02/2012,84
07/02/2012,84
08/02/2012,85
09/02/2012,86
10/02/2012,80
13/02/2012,79
14/02/2012,78
15/02/2012,80
16/02/2012,81
17/02/2012,84
21/02/2012,86
22/02/2012,85
23/02/2012,84
24/02/2012,83
27/02/2012,80
28/02/2012,77
29/02/2012,75
01/03/2012,76
02/03/2012,77
05/03/2012,76
06/03/2012,76
07/03/2012,76
08/03/2012,76
09/03/2012,76
12/03/2012,75
13/03/2012,74
14/03/2012,73
15/03/2012,69
16/03/2012,63
19/03/2012,60
20/03/2012,62
21/03/2012,63
22/03/2012,63
23/03/2012,64
26/03/2012,75
27/03/2012,74
28/03/2012,76
29/03/2012,78
30/03/2012,81
02/04/2012,79
03/04/2012,78
04/04/2012,70
05/04/2012,75
09/04/2012,73
10/04/2012,61
11/04/2012,62
12/04/2012,59
13/04/2012,60
16/04/2012,58
17/04/2012,60
18/04/2012,52
19/04/2012,39
20/04/2012,37
23/04/2012,35
24/04/2012,35
25/04/2012,35
26/04/2012,34
27/04/2012,35
30/04/2012,37
01/05/2012,38
02/05/2012,39
03/05/2012,41
04/05/2012,40
07/05/2012,42
08/05/2012,44
09/05/2012,45
10/05/2012,46
11/05/2012,42
14/05/2012,40
15/05/2012,37
16/05/2012,32
17/05/2012,31
18/05/2012,30
21/05/2012,18
22/05/2012,15
23/05/2012,14
24/05/2012,17
25/05/2012,15
29/05/2012,16
30/05/2012,16
31/05/2012,17
01/06/2012,17
04/06/2012,9
05/06/2012,10
06/06/2012,11
07/06/2012,12
08/06/2012,13
11/06/2012,15
12/06/2012,17
13/06/2012,17
14/06/2012,18
15/06/2012,20
18/06/2012,25
19/06/2012,26
20/06/2012,29
21/06/2012,28
22/06/2012,29
25/06/2012,35
26/06/2012,32
27/06/2012,39
28/06/2012,30
29/06/2012,28
02/07/2012,28
03/07/2012,31
05/07/2012,39
06/07/2012,41
09/07/2012,42
10/07/2012,45
11/07/2012,55
12/07/2012,50
13/07/2012,53
16/07/2012,49
17/07/2012,49
18/07/2012,46
19/07/2012,40
20/07/2012,44
23/07/2012,43
24/07/2012,44
25/07/2012,46
26/07/2012,47
27/07/2012,46
30/07/2012,50
31/07/2012,49
01/08/2012,42
02/08/2012,47
03/08/2012,48
06/08/2012,60
07/08/2012,58
08/08/2012,53
09/08/2012,55
10/08/2012,56
13/08/2012,60
14/08/2012,57
15/08/2012,62
16/08/2012,62
17/08/2012,65
20/08/2012,69
21/08/2012,70
22/08/2012,72
23/08/2012,74
24/08/2012,74
27/08/2012,72
28/08/2012,76
29/08/2012,77
30/08/2012,76
31/08/2012,78
04/09/2012,77
05/09/2012,78
06/09/2012,66
07/09/2012,66
10/09/2012,57
11/09/2012,61
12/09/2012,59
13/09/2012,62
14/09/2012,66
17/09/2012,72
18/09/2012,75
19/09/2012,76
20/09/2012,69
21/09/2012,78
24/09/2012,79
25/09/2012,82
26/09/2012,86
27/09/2012,88
28/09/2012,90
01/10/2012,90
02/10/2012,92
03/10/2012,92
04/10/2012,92
05/10/2012,92
08/10/2012,88
09/10/2012,89
10/10/2012,70
11/10/2012,71
12/10/2012,71
15/10/2012,73
16/10/2012,74
17/10/2012,74
18/10/2012,73
19/10/2012,65
22/10/2012,58
23/10/2012,62
24/10/2012,53
25/10/2012,57
26/10/2012,58
31/10/2012,52
01/11/2012,39
02/11/2012,38
05/11/2012,38
06/11/2012,39
07/11/2012,40
08/11/2012,42
09/11/2012,43
12/11/2012,47
13/11/2012,47
14/11/2012,50
15/11/2012,42
16/11/2012,40
19/11/2012,36
20/11/2012,28
21/11/2012,29
23/11/2012,32
26/11/2012,36
27/11/2012,37
28/11/2012,39
29/11/2012,42
30/11/2012,39
02/12/2012,42
03/12/2012,44
04/12/2012,45
05/12/2012,46
06/12/2012,47
07/12/2012,47
10/12/2012,42
11/12/2012,44
12/12/2012,42
13/12/2012,43
14/12/2012,45
17/12/2012,49
18/12/2012,51
19/12/2012,53
20/12/2012,54
21/12/2012,54
24/12/2012,55
26/12/2012,58
27/12/2012,58
28/12/2012,60
31/12/2012,60
02/01/2013,57
03/01/2013,52
04/01/2013,53
07/01/2013,58
08/01/2013,56
09/01/2013,61
10/01/2013,65
11/01/2013,67
14/01/2013,79
15/01/2013,75
16/01/2013,76
17/01/2013,78
18/01/2013,80
22/01/2013,82
23/01/2013,83
24/01/2013,82
25/01/2013,83
28/01/2013,86
29/01/2013,86
30/01/2013,88
31/01/2013,87
01/02/2013,88
04/02/2013,90
05/02/2013,90
06/02/2013,90
07/02/2013,91
08/02/2013,92
11/02/2013,94
12/02/2013,93
13/02/2013,89
14/02/2013,92
15/02/2013,86
19/02/2013,82
20/02/2013,81
21/02/2013,81
22/02/2013,82
25/02/2013,82
26/02/2013,83
27/02/2013,83
28/02/2013,85
01/03/2013,85
04/03/2013,84
05/03/2013,76
06/03/2013,70
07/03/2013,61
08/03/2013,59
11/03/2013,57
12/03/2013,58
13/03/2013,59
14/03/2013,62
15/03/2013,65
18/03/2013,70
19/03/2013,76
20/03/2013,73
21/03/2013,75
22/03/2013,78
25/03/2013,78
26/03/2013,78
27/03/2013,77
28/03/2013,74
01/04/2013,68
02/04/2013,69
03/04/2013,70
04/04/2013,71
05/04/2013,72
08/04/2013,70
09/04/2013,68
10/04/2013,67
11/04/2013,68
12/04/2013,63
15/04/2013,52
16/04/2013,58
17/04/2013,54
18/04/2013,56
19/04/2013,58
22/04/2013,50
23/04/2013,45
24/04/2013,38
25/04/2013,36
26/04/2013,39
29/04/2013,43
30/04/2013,45
01/05/2013,47
02/05/2013,50
