day index
2 1 20.625
3 2 19.6923076923077
4 3 32.8571428571429
5 4 30.45
6 5 25.3333333333333
7 6 4
8 7 23.6363636363636
9 8 12.6
10 9 13.2
11 10 44.3076923076923
12 11 56
13 12 16.3333333333333
14 13 4.5
15 14 52.3448275862069
16 15 57.6923076923077
17 16 45
18 17 54.2307692307692
19 18 51.4285714285714
20 19 22.9090909090909
21 20 6.66666666666667
22 21 42.5454545454545
23 22 70.6111111111111
24 23 43.1818181818182
25 24 59.7333333333333
26 25 59.4285714285714
27 26 33.2307692307692
28 27 6
29 28 51.6
30 29 53.0357142857143
31 30 45.9130434782609
32 31 44.4
33 32 41.4545454545455
34 33 27.0833333333333
35 34 6.66666666666667
36 35 38.85
37 36 28
38 37 32.4
39 38 53.9
40 39 42.1052631578947
41 40 28.125
42 41 3
43 42 48.551724137931
44 43 56.2162162162162
45 44 58.7297297297297
46 45 45.7692307692308
47 46 52.5714285714286
48 47 20.9
49 48 5.33333333333333
50 49 34.7368421052632
51 50 63.1071428571429
52 51 54.3478260869565
53 52 38
54 53 46.8461538461538
55 54 30.3333333333333
56 55 7.5
57 56 50.1428571428571
58 57 60.5714285714286
59 58 56.4705882352941
60 59 63.7241379310345
61 60 50.7692307692308
62 61 18.8888888888889
63 62 4.5
64 63 43.6296296296296
65 64 61.0909090909091
66 65 63.3103448275862
67 66 70.15
68 67 51.3076923076923
69 68 21.3333333333333
70 69 6
71 70 38.7368421052632
72 71 72.1111111111111
73 72 50.3571428571429
74 73 54.6428571428571
75 74 59.8387096774194
76 75 20.0909090909091
77 76 6
78 77 53.6538461538462
79 78 65.5555555555556
80 79 61.448275862069
81 80 50.1666666666667
82 81 45.2173913043478
83 82 34
84 83 10
85 84 61.5483870967742
86 85 72.054054054054
87 86 44.6086956521739
88 87 48.16
89 88 42.2916666666667
90 89 28.2857142857143
91 90 4
92 91 41.304347826087
93 92 49.5
94 93 53.5714285714286
95 94 45.5
96 95 61.6
97 96 18.8888888888889
98 97 4.5
99 98 46
100 99 39.1
101 100 45.7142857142857
102 101 63.2727272727273
103 102 38
104 103 29.0526315789474
105 104 7.5
106 105 37.7777777777778
107 106 53.3076923076923
108 107 53.0769230769231
109 108 69.7272727272727
110 109 54.56
111 110 23.1818181818182
112 111 6.66666666666667
113 112 56.8888888888889
114 113 70.5405405405405
115 114 50.3571428571429
116 115 62.6363636363636
117 116 36.75
118 117 32.7272727272727
119 118 Inf
120 119 41.04
121 120 55.3846153846154
122 121 56.4
123 122 41.8
124 123 22.1538461538462
125 124 2
126 125 8
127 126 56.8846153846154
128 127 60.4444444444444
129 128 35.2941176470588
130 129 48.9677419354839
131 130 46.3478260869565
132 131 16
133 132 4
134 133 38.5
135 134 65.3125
136 135 45.36
137 136 48.75
138 137 31.5714285714286
139 138 16.25
140 139 6
141 140 34.8333333333333
142 141 57.5
143 142 50.1923076923077
144 143 49.1764705882353
145 144 42
146 145 27.1818181818182
147 146 Inf
148 147 46.44
149 148 67.4285714285714
150 149 66.1515151515152
151 150 53.7931034482759
152 151 42.3684210526316
153 152 17.7777777777778
154 153 8.33333333333333
155 154 38.85
156 155 85.3953488372093
157 156 60.8518518518519
158 157 72.8571428571429
159 158 53.36
160 159 20
161 160 4.5
162 161 28.5
163 162 68.875
164 163 60.8
165 164 70.7586206896552
