day vn n p vp neg tot
201 200 2 31 24 0 29 41
202 201 0 8 12 0 8 18
203 202 1 6 5 0 6 7
204 203 1 19 23 0 19 36
205 204 0 31 22 0 27 41
206 205 1 37 35 0 33 55
207 206 1 27 22 0 26 42
208 207 1 22 18 0 19 34
209 208 1 12 11 0 12 19
210 209 0 0 1 0 0 1
211 210 2 29 22 0 26 40
212 211 0 32 33 0 27 50
213 212 1 28 28 0 28 49
214 213 2 19 25 1 18 37
215 214 3 31 27 1 31 48
216 215 0 9 14 0 9 19
217 216 0 0 3 0 0 3
218 217 0 30 29 0 27 45
219 218 0 31 35 2 26 47
220 219 0 28 27 0 24 47
221 220 0 25 33 2 20 44
222 221 0 15 11 1 14 23
223 222 0 2 1 0 2 3
224 223 0 4 4 0 4 6
225 224 0 21 27 0 20 37
226 225 0 35 36 0 28 55
227 226 2 29 19 0 28 44
228 227 0 25 31 0 24 43
229 228 1 22 21 0 21 37
230 229 1 4 10 0 5 13
231 230 1 0 1 0 1 2
232 231 1 25 23 0 22 36
233 232 0 41 30 0 37 59
234 233 0 37 20 0 33 47
235 234 1 29 35 1 27 52
236 235 0 17 20 1 14 29
237 236 1 11 7 0 10 16
238 237 0 1 2 0 1 2
239 238 1 25 16 0 24 35
240 239 2 24 33 0 25 49
241 240 0 31 35 1 29 52
242 241 0 29 33 0 27 50
243 242 1 17 16 0 16 30
244 243 3 14 16 0 15 24
245 244 0 0 0 0 0 0
246 245 0 20 21 1 18 33
247 246 1 26 34 0 26 49
248 247 1 32 35 1 32 57
249 248 0 51 41 0 44 75
250 249 1 26 19 0 22 38
251 250 0 10 8 0 10 16
252 251 0 1 2 0 1 3
253 252 1 48 26 1 42 58
254 253 1 54 44 0 44 68
255 254 1 34 26 1 29 47
256 255 0 32 26 0 27 45
257 256 0 29 15 0 25 36
258 257 0 8 10 0 8 17
259 258 0 1 1 0 1 2
260 259 0 17 12 0 14 22
261 260 0 38 25 0 33 50
262 261 1 31 32 0 31 56
263 262 1 28 25 0 28 47
264 263 1 10 26 3 11 34
265 264 1 12 11 0 12 20
266 265 0 1 0 0 1 1
267 266 2 20 15 0 22 30
268 267 0 41 21 0 34 46
269 268 0 29 38 0 25 51
270 269 0 33 33 0 32 57
271 270 2 27 22 0 25 39
272 271 1 15 10 0 15 22
273 272 0 1 1 0 1 2
274 273 1 20 26 1 20 39
275 274 0 32 24 0 31 50
276 275 0 27 30 0 25 47
277 276 0 19 29 0 19 43
278 277 0 28 33 0 25 52
279 278 0 7 10 1 7 14
280 279 0 2 0 0 2 2
281 280 0 28 21 0 28 46
282 281 0 48 20 0 42 59
283 282 1 41 29 2 34 55
284 283 0 29 34 1 23 48
